"lith_name","lith_texture","lith_comp","color","verbatim_lith"
"anhydrite",NULL,NULL,NULL,"anhydrite"
"bentonite",NULL,NULL,NULL,"bentonite"
"boundstone",NULL,NULL,NULL,"framestone"
"carbonate",NULL,NULL,NULL,"calcite"
"carbonate",NULL,NULL,NULL,"carbonate"
"carbonate",NULL,NULL,NULL,"chalk"
"chert",NULL,"calcareous",NULL,"calcareous chert"
"chert",NULL,NULL,NULL,"chert"
"coal",NULL,NULL,NULL,"coal"
"concretion","sandy",NULL,NULL,"sandstone (concretion)"
"concretion",NULL,NULL,NULL,"concretion"
"conglomerate",NULL,NULL,NULL,"conglomerate"
"dolomite",NULL,NULL,NULL,"dolomite"
"dolomite",NULL,NULL,NULL,"dolostone"
"grainstone",NULL,NULL,NULL,"coquina"
"grainstone",NULL,NULL,NULL,"grainstone"
"lime mudstone",NULL,NULL,NULL,"carbonate mudstone"
"lime mudstone",NULL,NULL,NULL,"lime mudstone"
"limestone",NULL,NULL,NULL,"limestone"
"mudstone",NULL,NULL,NULL,"mudstone"
"nodule",NULL,"phosphatic",NULL,"phosphatic nodule"
"packstone",NULL,NULL,NULL,"packstone"
"quartzite",NULL,NULL,NULL,"quartzite"
"sand",NULL,NULL,NULL,"sand"
"sandstone",NULL,NULL,NULL,"sandstone"
"sandstone",NULL,NULL,NULL,"sanstone"
"sandstone",NULL,NULL,NULL,"sulphidic sandstone"
"shale","silty",NULL,NULL,"silty shale"
"shale",NULL,NULL,NULL,"shale"
"siltstone",NULL,"carbonaceous",NULL,"organic-rich siltstone"
"siltstone",NULL,NULL,NULL,"siltstone"
"wackestone",NULL,NULL,NULL,"floatstone"
"wackestone",NULL,NULL,NULL,"wackestone"
NULL,NULL,NULL,NULL,NULL
