"batch_id","lab_batch_id","institution_name","batch_notes","num_sample","num_results","analytes"
1416,"DIG_2016_0007_XRF","SGS","AGS XRF data DIG_2016_0007_XRF https://ags.aer.ca/publication/dig-2016-0007","12222","12908","Al2O3, CaO, Cr2O3, Fe2O3, K2O, LOI, MgO, MnO, Na2O, P2O5, SiO2, Sum, TiO2, V2O5"
1417,"DIG_2016_0001","Bureau Veritas Minerals Laboratories","AGS elemental data DIG_2016_0001 https://ags.aer.ca/publication/dig-2016-0001","298545","222767","Ag, Al, Al2O3, As, Au, B, Ba, Be, Bi, C, C-graph, CO2, Ca, CaO, Cd, Ce, Co, Cr, Cr2O3, Cs, Cu, Dy, Er, Eu, Fe, Fe2O3, Ga, Gd, Hf, Hg, Ho, In, K, K2O, LOI, La, Li, Lu, Mg, MgO, Mn, MnO, Mo, Na, Na2O, Nb, Nd, Ni, P, P2O5, Pb, Pd, Pr, Pt, Rb, Re, S, SO4, Sb, Sc, Se, SiO2, Sm, Sn, Sr, Sum, TOC, Ta, Tb, Te, Th, Ti, TiO2, Tl, Tm, U, V, W, Y, Yb, Zn, Zr"
1418,"DIG_2016_0003","Core Laboratories","AGS XRD data DIG_2016_0003 https://ags.aer.ca/publication/dig-2016-0003","256","160","Aragonite, Calcite, Chlorite, Dolomite_Iron_Dolomite, Illite_Mica, Illite_Smectite, K-Feldspar, Kaolinite, Marcasite, Plagioclase, Pyrite, Quartz, Siderite, Smectite, Sum, Sylvite"
1419,"DIG_2016_0003","SGS","AGS XRD data DIG_2016_0003 https://ags.aer.ca/publication/dig-2016-0003","54126","9891","Actinolite, Albite, Alunite, Anatase, Anhydrite, Ankerite, Annite, Anorthite, Barite, Bassanite, Biotite, Brookite, Calcite, Calcium_Magnesium_Iron_Carbonate, Chamosite, Clinochlore, Dawsonite, Diopside, Dolomite, Enstatite, Epidote, Fayalite, Fluorapatite, Goethite, Gypsum, Halite, Hematite, Hydroxylapatite, Illite, Illite_Montmorillonite, Ilmenite, Jarosite, Kaolinite, Kutnohorite, Magnesite, Magnetite, Marcasite, Microcline, Montmorillonite, Mullite, Muscovite, Nontronite, Oligonite, Orthoclase, Palygorskite, Paragonite, Phlogopite, Pyrite, Quartz, Rectorite, Rhodochrosite, Rutile, Sanidine, Sepiolite, Sergeevite, Siderite, Stilpnomelane, Sum, Szomolnokite, Talc, Tennantite, Woodhouseite"
1420,"DIG_2016_0003","CBM Solutions","AGS XRD data DIG_2016_0003 https://ags.aer.ca/publication/dig-2016-0003","2268","947","Albite, Ankerite, Apatite, Bassanite, Calcite, Chlorite, Dolomite, Gypsum, Heulandite, Illite, Jarosite, Kaolinite, Mixed_Layer_Clays, Montmorillonite, Orthoclase, Pyrite, Quartz, Siderite"
1421,"DIG_2016_0006_XRD_Clay_Data","CBM Solutions","AGS Clay XRD DIG_2016_0006_XRD_Clay_Data https://ags.aer.ca/publication/dig-2016-0006","1180","260","Chlorite, Illite, Kaolinite, Mixed_Layer_Clays, Montmorillonite"
1422,"VAN13005271","Bureau Veritas Minerals Laboratories","AGS elemental data DIG_2019_0021 https://ags.aer.ca/publication/dig-2019-0021","3380","2457","Ag, Al, Al2O3, As, Au, B, Ba, Be, Bi, C, C-graph, CO2, Ca, CaO, Cd, Ce, Co, Cr, Cr2O3, Cs, Cu, Dy, Er, Eu, Fe, Fe2O3, Ga, Gd, Hf, Hg, Ho, K, K2O, LOI, La, Lu, Mg, MgO, Mn, MnO, Mo, Na, Na2O, Nb, Nd, Ni, P, P2O5, Pb, Pd, Pr, Pt, Rb, S, SO4, Sb, Sc, Se, SiO2, Sm, Sn, Sr, Sum, TOC, Ta, Tb, Te, Th, Ti, TiO2, Tl, Tm, U, V, W, Y, Yb, Zn, Zr"
1423,"VAN14001027","Bureau Veritas Minerals Laboratories","AGS elemental data DIG_2019_0021 https://ags.aer.ca/publication/dig-2019-0021","14608","12189","Ag, Al, Al2O3, As, Au, B, Ba, Be, Bi, C, C-graph, CO2, Ca, CaO, Cd, Ce, Co, Cr, Cr2O3, Cs, Cu, Dy, Er, Eu, Fe, Fe2O3, Ga, Gd, Hf, Hg, Ho, In, K, K2O, LOI, La, Li, Lu, Mg, MgO, Mn, MnO, Mo, Na, Na2O, Nb, Nd, Ni, P, P2O5, Pb, Pd, Pr, Pt, Rb, Re, S, SO4, Sb, Sc, Se, SiO2, Sm, Sn, Sr, Sum, TOC, Ta, Tb, Te, Th, Ti, TiO2, Tl, Tm, U, V, W, Y, Yb, Zn, Zr"
1424,"VAN19000455","Bureau Veritas Minerals Laboratories","AGS elemental data DIG_2019_0021 https://ags.aer.ca/publication/dig-2019-0021","3000","2929","Ag, Al, Al2O3, As, Au, B, Ba, Be, Bi, C, C-graph, CO2, Ca, CaO, Cd, Ce, Co, Cr, Cr2O3, Cs, Cu, Dy, Er, Eu, Fe, Fe2O3, Ga, Gd, Ge, Hf, Hg, Ho, In, K, K2O, LOI, La, Li, Lu, Mg, MgO, Mn, MnO, Mo, Na, Na2O, Nb, Nd, Ni, P, P2O5, Pb, Pd, Pr, Pt, Rb, Re, S, SO4, Sb, Sc, Se, SiO2, Sm, Sn, Sr, Sum, TOC, Ta, Tb, Te, Th, Ti, TiO2, Tl, Tm, U, V, W, Y, Yb, Zn, Zr"
1425,"VAN16000607","Bureau Veritas Minerals Laboratories","AGS elemental data DIG_2019_0021 https://ags.aer.ca/publication/dig-2019-0021","32870","27191","Ag, Al, Al2O3, As, Au, B, Ba, Be, Bi, C, C-graph, CO2, Ca, CaO, Cd, Ce, Co, Cr, Cr2O3, Cs, Cu, Dy, Er, Eu, Fe, Fe2O3, Ga, Gd, Hf, Hg, Ho, In, K, K2O, LOI, La, Li, Lu, Mg, MgO, Mn, MnO, Mo, Na, Na2O, Nb, Nd, Ni, P, P2O5, Pb, Pd, Pr, Pt, Rb, Re, S, SO4, Sb, Sc, Se, SiO2, Sm, Sn, Sr, Sum, TOC, Ta, Tb, Te, Th, Ti, TiO2, Tl, Tm, U, V, W, Y, Yb, Zn, Zr"
