batch_id,lab_batch_id,institution_name,batch_notes,num_sample,num_results,analytes
574,NULL,NULL,"CMIBS data, results from Abanda_2006",364,354,"Ba, C, CO2, Ce, Co, Cr, Dy, Er, Eu, Gd, Ho, La, Nd, Ni, P, Pr, S, Sm, Sr, TOC, Tb, Th, Tm, U, V, Y, Yb, Zr"
575,NULL,NULL,"CMIBS data, results from Abre_2011",180,180,"Al, Al2O3, Ba, Ca, CaO, Ce, Cr, Cs, Eu, Fe, Fe2O3, Hf, K, K2O, LOI, La, Lu, Mg, MgO, Mn, MnO, Na, Na2O, Nb, Nd, Ni, P, P2O5, Pb, Rb, Sc, Si, SiO2, Sm, Sr, Tb, Th, Ti, TiO2, U, V, Y, Yb, Zn, Zr"
576,NULL,NULL,"CMIBS data, results from Adams_2009",672,658,"Al, Al2O3, Ba, Ca, CaO, Ce, Cr, Dy, Er, Eu, Fe, Fe2O3, Ga, Gd, Ge, Hf, Ho, K, K2O, LOI, La, Lu, Mg, MgO, Mn, MnO, Na, Na2O, Nb, Nd, P, P2O5, Pr, Rb, Si, SiO2, Sm, Sr, Ta, Tb, Th, Ti, TiO2, Tm, Y, Yb, Zr"
578,NULL,NULL,"CMIBS data, results from AlberdiGenolet_1999",350,279,"Al, Ba, Co, Cu, Fe, Mo, Ni, V, Zn"
580,NULL,NULL,"CMIBS data, results from Armstrong_2001_2",39040,14097,"Ag, Al, Al2O3, As, Au, Ba, Be, C, CTO2, Ca, CaO, Cd, Ce, Co, Cr, Cs, Cu, Dy, Er, Eu, Fe, Fe2O3, Ga, Gd, Hf, Ho, K, K2O, LOI, La, Li, Lu, Mg, MgO, Mn, MnO, Mo, Na, Na2O, Nb, Nd, Ni, P, P2O5, Pb, Pr, Rb, S, Sb, Sc, Si, SiO2, Sm, Sn, Sr, Ta, Tb, Th, Ti, TiO2, Tl, Tm, U, V, W, Y, Yb, Zn, Zr"
581,NULL,NULL,"CMIBS data, results from Armstrong_2002_2",22344,8270,"Ag, Al, Al2O3, As, Au, Ba, Be, C, CTO2, Ca, CaO, Cd, Ce, Co, Cr, Cs, Cu, Dy, Er, Eu, Fe, Fe2O3, Ga, Gd, Hf, Ho, K, K2O, LOI, La, Li, Lu, Mg, MgO, Mn, MnO, Mo, Na, Na2O, Nb, Nd, Ni, P, P2O5, Pb, Pr, Rb, S, Sb, Sc, Si, SiO2, Sm, Sn, Sr, Ta, Tb, Th, Ti, TiO2, Tl, Tm, U, V, W, Y, Yb, Zn, Zr"
582,NULL,NULL,"CMIBS data, results from Arnaboldi_2007",1190,1085,"Al, Ba, Cd, Cr, Cu, Mo, Re, U, V, Zn"
583,NULL,NULL,"CMIBS data, results from Asiedu_2000",318,318,"Al, Al2O3, Ba, Ca, CaO, Ce, Co, Cr, Cs, Cu, Dy, Er, Eu, Fe, Fe2O3, Gd, Hf, Ho, K, K2O, LOI, La, Lu, Mg, MgO, Mn, MnO, Na, Na2O, Nb, Nd, Ni, P, P2O5, Pr, Rb, Sc, Si, SiO2, Sm, Sr, Ta, Tb, Th, Ti, TiO2, Tl, Tm, U, V, Y, Yb, Zr"
584,NULL,NULL,"CMIBS data, results from Asiedu_2004",696,648,"Al, Ca, Ce, Co, Cr, Dy, Eu, Fe, Gd, Hf, K, La, Lu, Mg, Mn, Na, Nd, Sc, Si, Sm, Ta, Tb, Th, Ti, V, Yb, Zr"
585,NULL,NULL,"CMIBS data, results from Baioumy_2011",162,135,"Ir, Os, Pd, Pt, Re"
