"batch_id","lab_batch_id","institution_name","batch_notes","num_sample","num_results","analytes"
1902,NULL,NULL,"DM-SED compiled data from Hu et al. 2016 (reference_id: 660).","280","279","Al, Ba, Be, Bi, Ca, Cd, Co, Cr, Cs, Cu, Fe, Ga, Hf, In, K, Li, Mg, Mn, Mo, Na, Nb, Ni, P, Pb, Rb, Re, Sb, Sc, Si, Sr, Ta, Th, Ti, Tl, U, V, W, Y, Zn, Zr"
1903,NULL,NULL,"DM-SED compiled data from Takahashi et al. 2014 (reference_id: 687).","2295","2272","Al, Ba, Be, Bi, Ca, Ce, Co, Cr, Cs, Cu, Dy, Er, Eu, Fe, Ga, Gd, Hf, Ho, K, La, Lu, Mg, Mn, Mo, Na, Nb, Nd, Ni, P, Pb, Pr, Rb, S, Sb, Sc, Si, Sm, Sn, Sr, TOC, Tb, Th, Ti, Tl, Tm, U, V, Y, Yb, Zn, Zr"
1904,NULL,NULL,"DM-SED compiled data from Eroglu et al. 2015 (reference_id: 722).","1416","1167","Al, Ca, Fe, K, Mg, Mn, Mo, Na, P, Si, TOC, Ti"
1905,NULL,NULL,"DM-SED compiled data from Rivera, 2013 (reference_id: 782).","5160","4996","Ag, Al, As, Ba, Be, Bi, Ca, Cd, Ce, Co, Cr, Cs, Cu, Dy, Er, Eu, Fe, Ga, Gd, Ge, Hf, Hg, Ho, K, La, Li, Lu, Mg, Mn, Mo, Na, Nb, Nd, Ni, P, Pb, Pr, Rb, Re, S, Sb, Sc, Se, Sm, Sn, Sr, Ta, Tb, Te, Th, Ti, Tl, Tm, U, V, W, Y, Yb, Zn, Zr"
1906,NULL,NULL,"DM-SED compiled data from Vine & Tourtelot, 1970 (reference_id: 744).","8","8","Al, Fe, Mg, TOC"
1907,NULL,NULL,"DM-SED compiled data from Loukola-Ruskeeniemi & Heino, 1996 (reference_id: 745).","175","175","Al, Ba, Ca, Cd, Co, Cr, Cu, Fe, K, La, Li, Mg, Mn, Mo, Na, Ni, P, S, Sc, Sr, TOC, V, Y, Zn, Zr"
1908,NULL,NULL,"DM-SED compiled data from Grasby et al. 2016 (reference_id: 748).","4430","3892","Al, Ba, Cu, DELTA_C13_ORG, DELTA_N15, Mo, N, Ni, P, TOC"
1909,NULL,NULL,"DM-SED compiled data from Lézin et al. 2013 (reference_id: 679).","1666","1661","Al, Cd, Co, Cr, DELTA_C13_ORG, DELTA_O18_CARB, Mo, Ni, P, Si, Sr, TOC, Th, U, V, Zn, Zr"
1910,NULL,NULL,"DM-SED compiled data from Montero-Serrano et al. 2015 (reference_id: 708).","4576","4576","Al, As, Ca, Co, Cr, Cu, DELTA_C13_CARB, DELTA_C13_ORG, DELTA_N15, DELTA_O18_CARB, Fe, K, La, Mg, Mn, Na, Nb, Nd, Ni, P, Rb, Si, TOC, V, Y, Zn"
1911,NULL,NULL,"DM-SED compiled data from Tian & Luo, 2017 (reference_id: 663).","15950","15483","Al, As, Ba, Be, Bi, Ca, Cd, Ce, Co, Cr, Cs, Cu, Dy, Er, Eu, Fe, Ga, Gd, Ho, In, K, La, Li, Lu, Mg, Mn, Mo, Na, Nd, Ni, P, Pb, Pr, Rb, S, Se, Si, Sm, Sr, TOC, Tb, Th, Ti, Tl, Tm, U, V, Y, Yb, Zn"
1912,NULL,NULL,"DM-SED compiled data from Legg, 2014 (reference_id: 762).","1440","1407","Al, Ba, Ca, Cr, Cu, Fe, K, Mg, Mn, Mo, Na, Nb, Ni, P, Rb, Si, Sr, TOC, Ti, U, V, Y, Zn, Zr"
1913,NULL,NULL,"DM-SED compiled data from Marynowski et al. 2012 (reference_id: 705).","336","335","Al, Ba, Be, Ca, Ce, Co, Cr, Cs, Cu, Dy, Er, Eu, Fe, Ga, Gd, Ge, Ho, K, La, Lu, Mg, Mn, Mo, Na, Nb, Nd, Ni, P, Pb, Pr, S, Sc, Si, Sm, Sn, Sr, TOC, Ta, Tb, Th, Ti, Tm, U, V, Y, Yb, Zn, Zr"
1914,NULL,NULL,"DM-SED compiled data from Young, 2002 (reference_id: 738).","704","525","Al, Ba, Ca, Ce, Co, Cr, Cs, Cu, Dy, Er, Eu, Fe, Ga, Gd, Hf, Ho, K, La, Lu, Mg, Mn, Na, Nb, Nd, Ni, P, Pr, Rb, Sc, Si, Sm, Sr, Ta, Tb, Th, Ti, Tm, U, V, W, Y, Yb, Zn, Zr"
1915,NULL,NULL,"DM-SED compiled data from Tian et al. 2017 (reference_id: 747).","2350","2325","Al, As, Ba, Be, Bi, Ca, Cd, Ce, Co, Cr, Cs, Cu, Dy, Er, Eu, Fe, Ga, Gd, Ho, In, K, La, Li, Lu, Mg, Mn, Mo, Na, Nd, Ni, P, Pb, Pr, Rb, S, Sc, Se, Si, Sm, Sr, Tb, Th, Ti, Tl, Tm, U, V, Y, Yb, Zn"
1916,NULL,NULL,"DM-SED compiled data from Long & Luo, 2017 (reference_id: 694).","16205","16095","Al, As, Ba, Be, Bi, Ca, Cd, Co, Cr, Cs, Cu, Fe, Ga, In, K, Li, Mg, Mn, Mo, Na, Ni, P, Pb, Rb, S, Sc, Se, Si, Sr, Th, Ti, Tl, U, V, Zn"
1917,NULL,NULL,"DM-SED compiled data from Newport et al. 2016 (reference_id: 703).","1054","1009","Al, As, Ba, Ca, Ce, Co, Cr, Cu, DELTA_C13_ORG, DELTA_N15, Fe, Ga, K, La, Mg, Mn, N, Na, Nb, Ni, P, Pb, Rb, S, Si, Sr, TOC, Th, Ti, U, V, Y, Zn, Zr"
1918,NULL,NULL,"DM-SED compiled data from Bisnett, 2001 (reference_id: 788).","396","327","Al, Mo, P, TOC, U, V"
1919,NULL,NULL,"DM-SED compiled data from Alexander et al. 2008 (reference_id: 691).","136","130","Al, Ba, Ca, Ce, Cs, Dy, Er, Eu, Fe, Gd, Hf, Ho, K, La, Lu, Mg, Mn, Na, Nb, P, Pb, Pr, Rb, Si, Sm, Sr, Tb, Th, Ti, Tm, U, Y, Yb, Zr"
1920,NULL,NULL,"DM-SED compiled data from Núñez-Useche et al. 2016 (reference_id: 711).","696","628","Ag, Al, Ba, Cd, Co, Cr, Cu, DELTA_C13_CARB, DELTA_N15, DELTA_O18_CARB, DELTA_S34_PY, Fe, Mn, Mo, Ni, P, Pb, Re, S, TOC, Th, U, V, Zn"
1921,NULL,NULL,"DM-SED compiled data from Hakimi et al. 2017 (reference_id: 697).","255","251","Al, Ca, Cu, Fe, Ga, K, Mg, Na, Ni, P, Rb, S, Si, Sr, TOC, Ti, V"
1922,NULL,NULL,"DM-SED compiled data from Fujisaki et al. 2016 (reference_id: 712).","4575","4186","Ag, Al, As, Ba, Br, Ca, Cd, Ce, Co, Cr, Cs, Cu, DELTA_C13_ORG, DELTA_N15, Dy, Er, Eu, Fe, Ga, Gd, Hf, Hg, Ho, K, La, Lu, Mg, Mn, Mo, N, Na, Nb, Nd, Ni, P, Pb, Pr, Rb, S, Sb, Sc, Se, Si, Sm, Sn, Sr, TOC, Ta, Tb, Te, Th, Ti, Tl, Tm, U, V, W, Y, Yb, Zn, Zr"
1923,NULL,NULL,"DM-SED compiled data from Hirst, 1974 (reference_id: 797).","860","860","Al, Ba, Ca, P, TOC"
1924,NULL,NULL,"DM-SED compiled data from Nance & Taylor, 1977 (reference_id: 667).","196","194","Al, Ba, Ca, Ce, Cs, Dy, Er, Eu, Fe, Gd, Hf, Ho, K, La, Mg, Mn, Na, Nd, P, Pr, Si, Sm, Tb, Th, Ti, U, Y, Yb"
1925,NULL,NULL,"DM-SED compiled data from Caplan & Bustin, 1999 (reference_id: 729).","616","594","Al, Ba, Ca, Co, Cr, Cu, DELTA_C13_ORG, DELTA_N15, Fe, K, Mg, Mn, Mo, N, Na, Nb, Ni, P, Pb, Rb, S, Sr, TOC, Ti, V, Y, Zn, Zr"
1926,NULL,NULL,"DM-SED compiled data from Lo Mónaco et al. 2002 (reference_id: 728).","351","259","Al, Ba, Ca, Ce, Co, Cr, Cu, Eu, Fe, K, La, Mg, Mn, Mo, Na, Nd, Ni, P, S, Si, Sm, TOC, Th, Ti, U, V, Zn"
1927,NULL,NULL,"DM-SED compiled data from Frimmel et al. 2006 (reference_id: 696).","336","335","Al, Ba, Ca, Ce, Co, Cr, Cs, Cu, Dy, Er, Eu, Fe, Gd, Hf, Ho, K, La, Lu, Mg, Mn, Na, Nb, Nd, Ni, P, Pb, Pr, Rb, Sc, Si, Sm, Sr, Ta, Tb, Th, Ti, Tm, U, V, Y, Yb, Zr"
1928,NULL,NULL,"DM-SED compiled data from Podkovyrov et al. 2007 (reference_id: 800).","1701","1360","Al, Ba, Ca, Ce, Co, Cr, Cs, Eu, Fe, Hf, K, La, Lu, Mg, Mn, Na, Nd, P, Rb, Sc, Si, Sm, Ta, Tb, Th, Ti, Yb"
1929,NULL,NULL,"DM-SED compiled data from Polgári et al. 2016 (reference_id: 714).","1885","1800","Ag, Al, As, Ba, Be, Bi, C, Ca, Cd, Ce, Co, Cr, Cs, Cu, DELTA_C13_CARB, DELTA_C13_ORG, DELTA_O18_CARB, Dy, Er, Eu, Fe, Ga, Gd, Hf, Ho, In, K, La, Li, Lu, Mg, Mn, Mo, N, Na, Nb, Nd, Ni, P, Pb, Pr, Rb, S, Sb, Sc, Se, Si, Sm, Sn, Sr, TOC, Ta, Tb, Te, Th, Ti, Tl, Tm, U, V, W, Y, Yb, Zn, Zr"
1930,NULL,NULL,"DM-SED compiled data from Chen & Sharma, 2016 (reference_id: 710).","450","417","Al, Cu, DELTA_C13_CARB, DELTA_C13_ORG, DELTA_N15, DELTA_S34_CAS, DELTA_S34_PY, Mo, N, Ni, P, TOC, Ti, U, V"
1931,NULL,NULL,"DM-SED compiled data from Bernasconi, 1991 (reference_id: 766).","35","35","Al, Ba, P, TOC, V"
1932,NULL,NULL,"DM-SED compiled data from Poulton et al. 2015 (reference_id: 740).","1656","1355","Al, Ca, DELTA_S34_CAS, DELTA_S34_PY, Fe, P, S, TOC"
1933,NULL,NULL,"DM-SED compiled data from Salem, 2013 (reference_id: 783).","1176","1172","Al, C, Ca, Cu, Mn, Mo, P, S, TIC, TOC, V, Zn"
1934,NULL,NULL,"DM-SED compiled data from Rimmer, 2004 (reference_id: 673).","225","201","Al, Mo, P, TOC, V"
1935,NULL,NULL,"DM-SED compiled data from Amajor, 1987 (reference_id: 672).","440","430","Al, Ca, Fe, Ga, Ge, K, La, Mg, Mn, Na, Nb, Nd, P, Pb, Rb, S, Si, Sr, Th, Ti, Y, Zr"
1936,NULL,NULL,"DM-SED compiled data from Brumsack, 1989 (reference_id: 661).","2268","2127","Ag, Al, As, Ba, Bi, Ca, Cd, Co, Cr, Cu, Fe, K, Mg, Mn, Mo, Na, Ni, P, Pb, S, Se, Si, Sr, TOC, Ti, Tl, V, Zn"
1937,NULL,NULL,"DM-SED compiled data from Fu et al. 2014 (reference_id: 735).","6649","5989","Al, As, B, Ba, Be, Bi, Ca, Cd, Ce, Co, Cr, Cs, Cu, Dy, Er, Eu, Fe, Ga, Gd, Hf, Hg, Ho, In, K, La, Li, Lu, Mg, Mn, Mo, Na, Nb, Nd, Ni, P, Pb, Pr, Rb, Re, S, Sb, Sc, Se, Si, Sm, Sn, Sr, TOC, Ta, Tb, Th, Ti, Tl, Tm, U, V, W, Y, Yb, Zn, Zr"
1938,NULL,NULL,"DM-SED compiled data from Genger & Sethi, 1998 (reference_id: 799).","168","133","Al, Mo, P, TOC, U, V"
1939,NULL,NULL,"DM-SED compiled data from Armstrong-Altrin et al. 2013 (reference_id: 686).","900","872","Al, Ba, Ca, Cd, Co, Cr, Cs, Cu, Fe, Ga, Hf, K, Mg, Mn, Na, Nb, Ni, P, Pb, Rb, Sc, Si, Sr, Th, Ti, U, V, Y, Zn, Zr"
1940,NULL,NULL,"DM-SED compiled data from Arthur & Dean, 1998 (reference_id: 733).","26554","24191","Al, As, Ba, Be, C, Ca, Ce, Co, Cr, Cu, Fe, Ga, K, La, Li, Mg, Mn, Mo, Na, Nb, Nd, Ni, P, Pb, Sc, Sr, TIC, TOC, Th, Ti, V, Y, Yb, Zn"
1941,NULL,NULL,"DM-SED compiled data from Revel et al. 2010 (reference_id: 723).","793","752","Al, Ba, Ca, DELTA_C13_ORG, DELTA_O18_CARB, Fe, K, Mg, Mn, Na, P, Si, Ti"
1942,NULL,NULL,"DM-SED compiled data from Locklair, 2007 (reference_id: 792).","1352","1332","Al, Ba, Cr, Fe, K, Mg, Mn, Mo, Na, P, Sr, TOC, V"
1943,NULL,NULL,"DM-SED compiled data from Wille et al. 2013 (reference_id: 678).","728","725","Al, Ba, Be, Ca, Cd, Ce, Co, Cr, Cs, Cu, Dy, Er, Eu, Fe, Ga, Gd, Hf, Ho, K, La, Li, Lu, Mg, Mn, Mo, Na, Nb, Nd, Ni, P, Pb, Pr, Rb, Sb, Sc, Si, Sm, Sn, Sr, TOC, Ta, Tb, Th, Ti, Tl, U, V, W, Y, Yb, Zn, Zr"
1944,NULL,NULL,"DM-SED compiled data from Gao et al. 2017 (reference_id: 751).","1406","1406","Al, Ba, Ca, Ce, Co, Cr, Cu, Dy, Er, Eu, Fe, Gd, Hf, Ho, K, La, Lu, Mg, Mn, Na, Nd, Ni, P, Pr, Rb, Sc, Si, Sm, Sr, Tb, Th, Ti, Tm, U, V, Yb, Zn"
1945,NULL,NULL,"DM-SED compiled data from Zuo et al. 2013 (reference_id: 756).","1365","1331","Al, Ba, Be, Ca, Co, Cr, Cu, Fe, K, Mg, Mn, Na, Nb, Ni, P, Pb, Si, Sr, Ti, V, Zn"
1946,NULL,NULL,"DM-SED compiled data from Tribovillard et al. 2015 (reference_id: 681).","506","488","Al, As, Ba, Ca, Co, Cr, Cu, Fe, K, Mg, Mn, Mo, Na, Ni, P, Sb, Si, Th, Ti, U, V, Zn, Zr"
1947,NULL,NULL,"DM-SED compiled data from Newport, 2016 (reference_id: 774).","1568","1491","Al, As, Ba, Ca, Ce, Co, Cr, Cu, DELTA_C13_ORG, Fe, Ga, K, La, Mg, Mn, Na, Nb, Ni, P, Pb, Rb, S, Si, Sr, TOC, Th, Ti, U, V, Y, Zn, Zr"
1948,NULL,NULL,"DM-SED compiled data from Cullers & Podkovyrov, 2002 (reference_id: 730).","1440","1239","Al, Ba, Ca, Ce, Co, Cr, Cs, Eu, Fe, Hf, K, La, Lu, Mg, Mn, Na, Nb, Nd, P, Rb, Sc, Si, Sm, Sr, Ta, Tb, Th, Ti, Yb, Zr"
