"batch_id","lab_batch_id","institution_name","batch_notes","num_sample","num_results","analytes"
414,NULL,NULL,"USGS NGDB table xtbIcpaesChem, total digestion, percent values, whole (none below or above detection)","97110","83541","Al, Ca, Fe, K, Mg, Na, P, Si, Ti"
415,NULL,NULL,"USGS NGDB table xtbIcpaesChem, total digestion, ppm values, whole (none below or above detection)","491220","201640","Ag, As, Au, B, Ba, Be, Bi, Cd, Ce, Co, Cr, Cu, Dy, Er, Eu, Ga, Gd, Ge, Hg, Ho, La, Li, Lu, Mn, Mo, Nb, Nd, Ni, Pb, Pr, Sc, Sm, Sn, Sr, Ta, Tb, Th, Tm, U, V, W, Y, Yb, Zn, Zr"
416,NULL,NULL,"USGS NGDB table xtbIcpaesChem, partial digestion, ppm values, whole (none below or above detection)","59520","11587","Ag, Al, As, Au, Ba, Be, Bi, Ca, Cd, Ce, Co, Cr, Cu, Fe, K, La, Li, Mg, Mn, Mo, Na, Ni, P, Pb, Sb, Sn, Sr, Ti, V, Y, Zn, Zr"
417,NULL,NULL,"USGS NGDB table xtbIcpmsChem percent values, whole (none below or above detection), assumed total digestion","920","781","Al, Ca, Fe, K, Mg, Na, P, S, Si, Ti"
418,NULL,NULL,"USGS NGDB table xtbIcpaesChem, total digestion, ppm values, whole (none below or above detection)","16473","6482","Ag, As, Au, Ba, Be, Bi, Cd, Ce, Co, Cr, Cs, Cu, Dy, Er, Eu, Ga, Gd, Ge, Hf, Ho, In, La, Li, Mn, Mo, Nb, Nd, Ni, Pb, Pr, Rb, Re, Sb, Sc, Se, Sm, Sn, Sr, Ta, Tb, Te, Th, Tl, Tm, U, V, W, Y, Yb, Zn, Zr"
420,NULL,NULL,"USGS NGDB table xtbMajorChem, ICP:AES values","320","40","Al2O3, CaO, Fe2O3, K2O, MgO, MnO, Na2O, P2O5, SiO2, TiO2"
421,NULL,NULL,"USGS NGDB table xtbMajorChem, clr values","1344","1005","Al2O3, Fe2O3, MnO, P2O5, SiO2, TiO2"
422,NULL,NULL,"USGS NGDB table xtbMajorChem, XRF values","80399","64865","Al2O3, CaO, Cl, Fe2O3, K2O, MgO, MnO, Na2O, P2O5, SiO2, TiO2"
423,NULL,NULL,"USGS NGDB table xtbMajorChem, msc values","163740","21587","CO2, Cl, F, FeO, H2O_m, H2O_p, H2O_t, LOI, S, S_ORG, S_SFD, S_SO4"
424,NULL,NULL,"USGS NGDB table xtbMajorChem, aa values","4368","2677","Al2O3, CO2, CaO, Fe2O3, FeO, K2O, MgO, MnO, Na2O, P2O5, SiO2, TiO2"
