"lith_name","lith_texture","lith_comp","color","verbatim_lith"
"Fe-MnOx crust",NULL,NULL,NULL,"Fe-MnOx crust"
"argillite",NULL,NULL,NULL,"Argillite"
"argillite",NULL,NULL,NULL,"argillite"
"barite",NULL,NULL,NULL,"barite"
"carbonate",NULL,NULL,NULL,"carbonate"
"chert",NULL,NULL,NULL,"Chert"
"chert",NULL,NULL,NULL,"chert"
"claystone",NULL,NULL,NULL,"Claystone"
"claystone",NULL,NULL,NULL,"claystone"
"coal",NULL,NULL,NULL,"coal"
"concretion",NULL,NULL,NULL,"concretion"
"conglomerate",NULL,NULL,NULL,"conglomerate"
"dolomite",NULL,NULL,NULL,"dolomite"
"grainstone",NULL,NULL,NULL,"coquina"
"grainstone",NULL,NULL,NULL,"coquinite"
"greywacke",NULL,NULL,"grey","Greywacke"
"iron formation",NULL,NULL,NULL,"BIF"
"iron formation",NULL,NULL,NULL,"GIF"
"jaspilite",NULL,NULL,NULL,"Jaspilite"
"limestone",NULL,NULL,NULL,"Limestone"
"limestone",NULL,NULL,NULL,"limestone"
"metagreywacke",NULL,NULL,"grey","Metagreywacke"
"metapelite",NULL,NULL,NULL,"Metapelite"
"metasiltstone",NULL,NULL,NULL,"Metasiltstone"
"mud",NULL,NULL,NULL,"Mud"
"mudstone",NULL,NULL,NULL,"Mudstone"
"mudstone",NULL,NULL,NULL,"mudstone"
"nodule",NULL,NULL,NULL,"nodule"
"oil shale",NULL,NULL,NULL,"oil shale"
"peat",NULL,NULL,NULL,"peat"
"pelite",NULL,NULL,NULL,"Pelite"
"phosphorite",NULL,NULL,NULL,"phosphorite"
"porcellanite",NULL,NULL,NULL,"Porcellanite"
"quartzite",NULL,NULL,NULL,"quartzite"
"sandstone","muddy",NULL,NULL,"Wacke"
"sandstone",NULL,NULL,NULL,"Sandstone"
"sandstone",NULL,NULL,NULL,"sandstone"
"shale",NULL,NULL,"black","Black shale"
"shale",NULL,NULL,"black","black shale"
"shale",NULL,NULL,"brown","Brown shale"
"shale",NULL,NULL,"green","Green shale"
"shale",NULL,NULL,"grey","Grey shale"
"shale",NULL,NULL,"maroon","Maroon shale"
"shale",NULL,NULL,NULL,"Shale"
"shale",NULL,NULL,NULL,"shale"
"siltite",NULL,NULL,NULL,"siltite"
"siltstone",NULL,NULL,NULL,"Siltstone"
"siltstone",NULL,NULL,NULL,"siltstone"
"slate",NULL,NULL,"black","Black slate"
"slate",NULL,NULL,"green","Green slate"
"slate",NULL,NULL,"grey","Grey slate"
"slate",NULL,NULL,NULL,"Slate"
"slate",NULL,NULL,NULL,"slate"
NULL,NULL,NULL,"black","Black sediment"
NULL,NULL,NULL,NULL,"Heterolithic"
NULL,NULL,NULL,NULL,"Turbidite"
NULL,NULL,NULL,NULL,"unspecified"
NULL,NULL,NULL,NULL,NULL
