website_analyte,analyte_codes,category,total_count,below_detection_count,above_detection_count,within_detection_count,percent_below_det,percent_above_det,percent_within_det
1:1 clays (wt%),1:1 clays,mineralogy_composition,43,0,0,43,0,0,100
192Os (ppt),192Os,metal_isotope,119,0,0,119,0,0,100
2:1 clays (wt%),2:1 clays,mineralogy_composition,43,0,0,43,0,0,100
Ag (ppm),Ag,element,56205,31872,9,24324,56.71,0.02,43.28
Al (wt%),"Al, Al2O3",element,107212,686,808,105718,0.64,0.75,98.61
Al-carb (wt%),Al-carb,carbonate_proxy,1335,0,0,1335,0,0,100
Albite (wt%),Albite,mineralogy_composition,1337,116,0,1221,8.68,0,91.32
Analcime (wt%),Analcime,mineralogy_composition,4,0,0,4,0,0,100
Anatase (wt%),Anatase,mineralogy_composition,539,0,0,539,0,0,100
Anhydrite (wt%),Anhydrite,mineralogy_composition,230,0,0,230,0,0,100
Ankerite (wt%),Ankerite,mineralogy_composition,553,0,0,553,0,0,100
Anorthite (wt%),Anorthite,mineralogy_composition,27,0,0,27,0,0,100
Apatite (wt%),Apatite,mineralogy_composition,530,71,0,459,13.4,0,86.6
Aragonite (wt%),Aragonite,mineralogy_composition,1,0,0,1,0,0,100
As (ppm),As,element,61419,21610,19,39790,35.18,0.03,64.78
As-carb (ppm),As-carb,carbonate_proxy,299,145,0,154,48.49,0,51.51
Ash (wt%),Ash,mineralogy_composition,690,0,0,690,0,0,100
Au (ppb),Au,element,39308,34261,2,5045,87.16,0.01,12.83
AVS (wt%),AVS,iron_sulfur,301,0,0,301,0,0,100
B (ppm),B,element,23922,6581,9,17332,27.51,0.04,72.45
Ba (ppm),"Ba, BaO",element,78967,471,78,78418,0.6,0.1,99.3
Ba-carb (ppm),Ba-carb,carbonate_proxy,446,0,0,446,0,0,100
Barite (wt%),Barite,mineralogy_composition,23,0,0,23,0,0,100
Be (ppm),Be,element,56194,20434,0,35760,36.36,0,63.64
Berthierine (wt%),Berthierine,mineralogy_composition,421,0,0,421,0,0,100
Bi (ppm),Bi,element,56614,35676,2,20936,63.02,0,36.98
Biotite (wt%),Biotite,mineralogy_composition,19,0,0,19,0,0,100
C:N (atomic),C:N,nitrogen_phosphorous,2187,0,0,2187,0,0,100
Ca (wt%),"Ca, CaO",element,97450,1544,3050,92856,1.58,3.13,95.29
