website_analyte,analyte_codes,category,total_count,below_detection_count,above_detection_count,within_detection_count,percent_below_det,percent_above_det,percent_within_det
Ag (ppm),Ag,element,809,0,0,809,0,0,100
Al (wt%),Al,element,7720,0,0,7720,0,0,100
As (ppm),As,element,3262,0,0,3262,0,0,100
B (ppm),B,element,859,0,0,859,0,0,100
Ba (ppm),Ba,element,6189,0,0,6189,0,0,100
Be (ppm),Be,element,1668,0,0,1668,0,0,100
Bi (ppm),Bi,element,1664,0,0,1664,0,0,100
Ca (wt%),Ca,element,6799,0,0,6799,0,0,100
Cd (ppm),Cd,element,2328,0,0,2328,0,0,100
Ce (ppm),Ce,element,2803,0,0,2803,0,0,100
Co (ppm),Co,element,4724,0,0,4724,0,0,100
Cr (ppm),Cr,element,5724,0,0,5724,0,0,100
Cs (ppm),Cs,element,1947,0,0,1947,0,0,100
Cu (ppm),Cu,element,5808,0,0,5808,0,0,100
Dy (ppm),Dy,element,1408,0,0,1408,0,0,100
Er (ppm),Er,element,1403,0,0,1403,0,0,100
Eu (ppm),Eu,element,1753,0,0,1753,0,0,100
Fe (wt%),Fe,iron_sulfur,6759,0,0,6759,0,0,100
Ga (ppm),Ga,element,3284,0,0,3284,0,0,100
Gd (ppm),Gd,element,1464,0,0,1464,0,0,100
Ge (ppm),Ge,element,318,0,0,318,0,0,100
Hf (ppm),Hf,element,1353,0,0,1353,0,0,100
Hg (ppm),Hg,element,228,0,0,228,0,0,100
Ho (ppm),Ho,element,1366,0,0,1366,0,0,100
In (ppm),In,element,948,0,0,948,0,0,100
K (wt%),K,element,6315,0,0,6315,0,0,100
La (ppm),La,element,3643,0,0,3643,0,0,100
Li (ppm),Li,element,2142,0,0,2142,0,0,100
Lu (ppm),Lu,element,1551,0,0,1551,0,0,100
Mg (wt%),Mg,element,6404,0,0,6404,0,0,100
Mn (ppm),Mn,element,6370,0,0,6370,0,0,100
Mo (ppm),Mo,element,5101,0,0,5101,0,0,100
N (wt%),N,nitrogen_phosphorous,498,0,0,498,0,0,100
Na (wt%),Na,element,6030,0,0,6030,0,0,100
Nb (ppm),Nb,element,3265,0,0,3265,0,0,100
Nd (ppm),Nd,element,2561,0,0,2561,0,0,100
Ni (ppm),Ni,element,6056,0,0,6056,0,0,100
P (ppm),P,nitrogen_phosphorous,7939,0,0,7939,0,0,100
Pb (ppm),Pb,element,4427,0,0,4427,0,0,100
Pr (ppm),Pr,element,1412,0,0,1412,0,0,100
Rb (ppm),Rb,element,3549,0,0,3549,0,0,100
Re (ppm),Re,element,153,0,0,153,0,0,100
S (wt%),S,iron_sulfur,3327,0,0,3327,0,0,100
Sb (ppm),Sb,element,1253,0,0,1253,0,0,100
Sc (ppm),Sc,element,3395,0,0,3395,0,0,100
Se (ppm),Se,element,1947,0,0,1947,0,0,100
Si (wt%),Si,element,4936,0,0,4936,0,0,100
Sm (ppm),Sm,element,1588,0,0,1588,0,0,100
Sn (ppm),Sn,element,584,0,0,584,0,0,100
Sr (ppm),Sr,element,5266,0,0,5266,0,0,100
Ta (ppm),Ta,element,985,0,0,985,0,0,100
Tb (ppm),Tb,element,1585,0,0,1585,0,0,100
Te (ppm),Te,element,714,0,0,714,0,0,100
Th (ppm),Th,element,4620,0,0,4620,0,0,100
Ti (wt%),Ti,element,5483,0,0,5483,0,0,100
TIC (wt%),TIC,carbon,886,0,0,886,0,0,100
Tl (ppm),Tl,element,1866,0,0,1866,0,0,100
Tm (ppm),Tm,element,1301,0,0,1301,0,0,100
TOC (wt%),TOC,carbon,4446,0,0,4446,0,0,100
Total Carbon (wt%),C,carbon,1156,0,0,1156,0,0,100
U (ppm),U,element,4208,0,0,4208,0,0,100
V (ppm),V,element,5598,0,0,5598,0,0,100
W (ppm),W,element,497,0,0,497,0,0,100
Y (ppm),Y,element,3877,0,0,3877,0,0,100
Yb (ppm),Yb,element,1944,0,0,1944,0,0,100
Zn (ppm),Zn,element,4914,0,0,4914,0,0,100
Zr (ppm),Zr,element,2986,0,0,2986,0,0,100
δ13C-carb (‰),DELTA_C13_CARB,carbonate_proxy,359,0,0,359,0,0,100
δ13C-org (‰),DELTA_C13_ORG,carbon,1279,0,0,1279,0,0,100
δ15N (‰),DELTA_N15,nitrogen_phosphorous,728,0,0,728,0,0,100
δ18O-carb (‰),DELTA_O18_CARB,carbonate_proxy,453,0,0,453,0,0,100
δ34S-cas (‰),DELTA_S34_CAS,iron_sulfur,98,0,0,98,0,0,100
δ34S-py (‰),DELTA_S34_PY,iron_sulfur,223,0,0,223,0,0,100
