website_analyte,analyte_codes,category,total_count,below_detection_count,above_detection_count,within_detection_count,percent_below_det,percent_above_det,percent_within_det
1:1 clays (wt%),1:1 clays,mineralogy_composition,43,0,0,43,0,0,100
192Os (ppt),192Os,metal_isotope,119,0,0,119,0,0,100
2:1 clays (wt%),2:1 clays,mineralogy_composition,43,0,0,43,0,0,100
Ag (ppm),Ag,element,14125,3454,1,10670,24.45,0.01,75.54
Al (wt%),"Al, Al2O3",element,31969,137,18,31814,0.43,0.06,99.52
Al-carb (wt%),Al-carb,carbonate_proxy,1335,0,0,1335,0,0,100
Albite (wt%),Albite,mineralogy_composition,504,116,0,388,23.02,0,76.98
Analcime (wt%),Analcime,mineralogy_composition,4,0,0,4,0,0,100
Anatase (wt%),Anatase,mineralogy_composition,37,0,0,37,0,0,100
Anhydrite (wt%),Anhydrite,mineralogy_composition,228,0,0,228,0,0,100
Ankerite (wt%),Ankerite,mineralogy_composition,109,0,0,109,0,0,100
Anorthite (wt%),Anorthite,mineralogy_composition,20,0,0,20,0,0,100
Apatite (wt%),Apatite,mineralogy_composition,529,71,0,458,13.42,0,86.58
As (ppm),As,element,16300,1312,0,14988,8.05,0,91.95
As-carb (ppm),As-carb,carbonate_proxy,299,145,0,154,48.49,0,51.51
Au (ppb),Au,element,2784,1409,0,1375,50.61,0,49.39
AVS (wt%),AVS,iron_sulfur,301,0,0,301,0,0,100
B (ppm),B,element,1520,35,0,1485,2.3,0,97.7
Ba (ppm),"Ba, BaO",element,22934,148,35,22751,0.65,0.15,99.2
Ba-carb (ppm),Ba-carb,carbonate_proxy,446,0,0,446,0,0,100
Barite (wt%),Barite,mineralogy_composition,21,0,0,21,0,0,100
Be (ppm),Be,element,15766,2503,0,13263,15.88,0,84.12
Berthierine (wt%),Berthierine,mineralogy_composition,421,0,0,421,0,0,100
Bi (ppm),Bi,element,14629,2734,0,11895,18.69,0,81.31
C:N (atomic),C:N,nitrogen_phosphorous,2187,0,0,2187,0,0,100
Ca (wt%),"Ca, CaO",element,24392,160,159,24073,0.66,0.65,98.69
Ca-carb (wt%),Ca-carb,carbonate_proxy,2013,0,0,2013,0,0,100
Calcite (wt%),Calcite,mineralogy_composition,1468,27,0,1441,1.84,0,98.16
