"period","count_samples_all","count_sgp","count_ngdb","count_cmibs","count_ozchem","count_ags","count_dmsed"
"Calymmian","2558","2364","0","0","83","0","84"
"Cambrian","6961","4665","1684","262","83","1","191"
"Carboniferous","9565","2517","4350","1371","41","156","749"
"Cretaceous","10268","1606","3253","1994","0","1861","1401"
"Cryogenian","2487","2236","0","0","166","0","9"
"Devonian","9543","4422","1619","1242","54","846","1124"
"Ectasian","775","721","0","0","2","0","52"
"Ediacaran","7742","6877","0","0","4","0","743"
"Jurassic","3322","1036","703","213","0","664","674"
"Neogene","3256","39","2844","345","0","0","21"
"Ordovician","5952","3005","1288","1362","47","3","197"
"Orosirian","2357","1490","0","0","830","0","32"
"Paleogene","7653","277","7130","45","0","9","103"
"Permian","4215","1006","2488","252","73","9","296"
"Quaternary","1776","345","147","187","0","0","1095"
"Rhyacian","734","697","0","0","1","0","36"
"Siderian","94","88","0","0","0","0","0"
"Silurian","2018","1559","210","40","6","0","119"
"Statherian","2739","1373","0","0","1305","0","37"
"Stenian","1083","777","0","0","3","0","65"
"Tonian","3631","3478","0","0","108","0","26"
"Triassic","3824","1506","1028","20","6","369","708"
NULL,"33431","6055","15841","4943","3001","274","267"
