"lith_name","lith_texture","lith_comp","color","verbatim_lith"
"bentonite",NULL,NULL,NULL,"Bentonite"
"carbonate","sandy",NULL,NULL,"Detritus-rich Carbonate"
"carbonate",NULL,"siliceous",NULL,"Silicified Carbonate"
"carbonate",NULL,NULL,NULL,"“Pure” Carbonates"
"chert",NULL,NULL,"black","Black radiolarian chert"
"chert",NULL,NULL,NULL,"Silicalite"
"chert",NULL,NULL,NULL,"Siliceous rock"
"clay",NULL,"dolomitic","greyish red","Grayish-red dolomitic claystone"
"clay",NULL,"phosphatic","yellowish brown","Yellowish-brown phosphatic claystone"
"claystone",NULL,"siliceous",NULL,"siliceous claystone"
"claystone",NULL,NULL,"black","black claystone"
"claystone",NULL,NULL,NULL,"Clay"
"claystone",NULL,NULL,NULL,"clayshale"
"claystone",NULL,NULL,NULL,"claystone"
"concretion",NULL,NULL,NULL,"Dark-grey micritic concretion"
"concretion",NULL,NULL,NULL,"dark-gray micritic concretion"
"dolomite","clayey",NULL,NULL,"Argillaceous dolomite"
"dolomite","muddy",NULL,NULL,"Muddy dolostone"
"dolomite","silty",NULL,"greyish red","Grayish-red silty calcitic dolomite"
"dolomite",NULL,NULL,NULL,"Dolomite"
"dolomite",NULL,NULL,NULL,"Dolostone"
"dolomite",NULL,NULL,NULL,"dolomite"
"grainstone",NULL,NULL,NULL,"grainstone"
"lime mudstone",NULL,NULL,"dark grey","Dark-gray micritic limestone"
"lime mudstone",NULL,NULL,NULL,"Calcilutite"
"lime mudstone",NULL,NULL,NULL,"Micrite"
"lime mudstone",NULL,NULL,NULL,"Micritic limestone"
"lime mudstone",NULL,NULL,NULL,"Mud limestone"
"limestone","clayey",NULL,NULL,"Argillaceous limestone"
"limestone","clayey",NULL,NULL,"Marly limestone"
"limestone","muddy",NULL,NULL,"Muddy limestone"
"limestone",NULL,"dolomitic",NULL,"Dolomitic limestone"
"limestone",NULL,NULL,"black","Black Limestone"
"limestone",NULL,NULL,"black","Black dolomitic limestone"
"limestone",NULL,NULL,NULL,"Ferrous limestone"
"limestone",NULL,NULL,NULL,"Limestone"
"limestone",NULL,NULL,NULL,"bioclastic limestone shalestic lime shalestone"
"limestone",NULL,NULL,NULL,"bioclastic limestone shalestic lime shalestone*"
"limestone",NULL,NULL,NULL,"limestone"
