"lith_name","lith_texture","lith_comp","color","verbatim_lith"
"anhydrite",NULL,NULL,NULL,"anhydrite;ANHYDRITE-DOLOMITE?;  sulfatic;"
"arenite",NULL,NULL,NULL,"arenite;ARENITE;  massive; siliceous;"
"arenite",NULL,NULL,NULL,"arenite;CALCAREOUS QTZ ARENITE"
"arenite",NULL,NULL,NULL,"arenite;CALCAREOUS QTZ ARENITE, VERY FINE TO FINE GRAIN"
"arenite",NULL,NULL,NULL,"arenite;CALCAREOUS QUARTZ ARENITE F-VF-GRAINED"
"arenite",NULL,NULL,NULL,"arenite;CALCAREOUS QUARTZ ARENITE VERY FINE GRAINED"
"arenite",NULL,NULL,NULL,"arenite;CLAYEY QTZ. ARENITE"
"arenite",NULL,NULL,NULL,"arenite;CLAYEY, CALCAREOUS QTZ ARENITE"
"arenite",NULL,NULL,NULL,"arenite;F. G. QTZ. ARENITE"
"arenite",NULL,NULL,NULL,"arenite;FINE TO MED. GRAINED QUARTZ-ARENITE"
"arenite",NULL,NULL,NULL,"arenite;PINK FELDSPATHIC QUARTZ ARENITE;  massive; arkosic;"
"arenite",NULL,NULL,NULL,"arenite;QTZ ARENITE W\\PYRITE"
"arenite",NULL,NULL,NULL,"arenite;QTZ ARENITE, CALCAREOUS"
"arenite",NULL,NULL,NULL,"arenite;QTZ ARENITE, SLIGHTLY CLAYEY"
"arenite",NULL,NULL,NULL,"arenite;QTZ. ARENITE"
"arenite",NULL,NULL,NULL,"arenite;QTZ. ARENITE, VERY FINE GRAINED, REDUCED W\\SMALL MASSES OF PYRITE"
"arenite",NULL,NULL,NULL,"arenite;SILTY CALCAREOUS QTZ ARENITE"
"arenite",NULL,NULL,NULL,"arenite;SILTY QTZ ARENITE"
"arenite",NULL,NULL,NULL,"arenite;SILTY, CALCAREOUS QTZ ARENITE"
"arenite",NULL,NULL,NULL,"arenite;SL. CALC. CLAYEY QTZ ARENITE W\\LS INTERBEDS"
"arenite",NULL,NULL,NULL,"arenite;SLIGHTLY CALCAREOUS QTZ. ARENITE"
"argillite",NULL,NULL,NULL,"ARGILLITE;NULL"
"argillite",NULL,NULL,NULL,"argillite;ARGILLITE 120CPS JS (928-B).  DUGOUT CREEK"
"argillite",NULL,NULL,NULL,"argillite;ARGILLITE CORE T3-920'"
"argillite",NULL,NULL,NULL,"argillite;ARGILLITE W/BANDING.  FOOTAGE 670.2;  laminated; siliceous;"
"argillite",NULL,NULL,NULL,"argillite;ARGILLITE WITH MANGANESE VEINS CRESCENT MINE;  massive;"
"argillite",NULL,NULL,NULL,"argillite;ARGILLITE, BANDING, LIGHT & DARK BEDS.  FOOTAGE 216.6;  laminated; siliceous;"
"argillite",NULL,NULL,NULL,"argillite;ARGILLITE, CARBONACEOUS;  clastic; carbonaceous (organic);"
"argillite",NULL,NULL,NULL,"argillite;ARGILLITE, FAINT LIGHT & DARK BONDING.  FOOTAGE 595.2;  laminated; siliceous;"
"argillite",NULL,NULL,NULL,"argillite;ARGILLITE, PYRITE ALONG FRACTURES.  FOOTAGE 143.0-143.3;  massive; siliceous;"
"argillite",NULL,NULL,NULL,"argillite;ARGILLITE, TRIUMPH MINE;  carbonaceous (organic); siliceous;"
"argillite",NULL,NULL,NULL,"argillite;ARGILLITE,CARBONACEOUS;  clastic; carbonaceous (organic);"
"argillite",NULL,NULL,NULL,"argillite;ARGILLITE-PCP;  laminated;"
"argillite",NULL,NULL,NULL,"argillite;ARGILLITE-PCT;  laminated;"
"argillite",NULL,NULL,NULL,"argillite;ARGILLITE-PCWL;  laminated; dolomitic;"
"argillite",NULL,NULL,NULL,"argillite;ARGILLITE-PCWU;  laminated;"
"argillite",NULL,NULL,NULL,"argillite;ARGILLITE-PCWU;  siliceous; silty;"
"argillite",NULL,NULL,NULL,"argillite;ARGILLITE-SILTITE"
"argillite",NULL,NULL,NULL,"argillite;ARGILLITE-SP2;  laminated;"
"argillite",NULL,NULL,NULL,"argillite;ARGILLITE-SP3;  laminated;"
"argillite",NULL,NULL,NULL,"argillite;ARGILLITE.  FOOTAGE 1315-1315.9;  massive; siliceous;"
"argillite",NULL,NULL,NULL,"argillite;ARGILLITE;  calcareous; lithic;"
"argillite",NULL,NULL,NULL,"argillite;ARGILLITE;  carbonaceous (organic);"
"argillite",NULL,NULL,NULL,"argillite;ARGILLITE;  carbonaceous (organic); siliceous;"
"argillite",NULL,NULL,NULL,"argillite;ARGILLITE;  clastic; carbonaceous (organic);"
"argillite",NULL,NULL,NULL,"argillite;ARGILLITE;  laminated; phosphatic;"
"argillite",NULL,NULL,NULL,"argillite;ARGILLITE;  oolitic; volcanic;"
"argillite",NULL,NULL,NULL,"argillite;BANDED CHERTY ARGILLITE;  laminated; cherty;"
"argillite",NULL,NULL,NULL,"argillite;BANDED META-ARGILLITE;  laminated;"
"argillite",NULL,NULL,NULL,"argillite;BANDED, CHERTY-META ARGILLITE;  laminated; cherty;"
"argillite",NULL,NULL,NULL,"argillite;BLACK ARGILLITE"
"argillite",NULL,NULL,NULL,"argillite;BLACK SILTITE-ARGILLITE"
"argillite",NULL,NULL,NULL,"argillite;BLEACHED ARGILLITE"
"argillite",NULL,NULL,NULL,"argillite;CARBONACEOUS ARGILLITE;  clayey; carbonaceous (organic);"
"argillite",NULL,NULL,NULL,"argillite;DARK GRAY ARGILLITE PEBBLE.  CHARLES RIVER DAM"
"argillite",NULL,NULL,NULL,"argillite;DARK GRAY ARGILLITE PEBBLE.  PUSEY LIBRARY, HARVARD UNIV."
"argillite",NULL,NULL,NULL,"argillite;DARK GRAY SHALY ARGILLITE"
"argillite",NULL,NULL,NULL,"argillite;DARK-GRAY ARGILLITE"
"argillite",NULL,NULL,NULL,"argillite;DARK-GRAY ARGILLITE-SILTITE"
"argillite",NULL,NULL,NULL,"argillite;DARK-GRAY FOSSILIFEROUS ARGILLITE"
"argillite",NULL,NULL,NULL,"argillite;DARK-GRAY FOSSILIFEROUS ARGILLITE-SILTITE"
"argillite",NULL,NULL,NULL,"argillite;DARK-GRAY SILTITE-ARGILLITE"
"argillite",NULL,NULL,NULL,"argillite;DARK-TO MED. DK GRAY SHALY ARGILLITE"
"argillite",NULL,NULL,NULL,"argillite;DARK-TO MED.-DK-GRAY SHALY ARGILLITE"
"argillite",NULL,NULL,NULL,"argillite;DIRTY QUARTZITE-META ARGILLITE;  massive; micaceous;"
"argillite",NULL,NULL,NULL,"argillite;DK & MINOR MED DK GRAY SHALY SILTITE-ARGILLITE"
"argillite",NULL,NULL,NULL,"argillite;DK & MINOR MED. DK GRAY SHALY SILTITE-ARGILLITE"
"argillite",NULL,NULL,NULL,"argillite;DK GRAY SHALY ARGILLITE-SILTITE"
"argillite",NULL,NULL,NULL,"argillite;DK-TO MED-DK GRAY SHALY ARGILLITE"
"argillite",NULL,NULL,NULL,"argillite;FE & CALCITE VEINED ARGILLITE"
"argillite",NULL,NULL,NULL,"argillite;FE-MNRLZD ARGILLITE 2 M EAST OF 90-47B"
"argillite",NULL,NULL,NULL,"argillite;Fe stained argillite"
"argillite",NULL,NULL,NULL,"argillite;GRAY ARGILLITE"
"argillite",NULL,NULL,NULL,"argillite;GRAY ARGILLITE; UPPER HALF"
"argillite",NULL,NULL,NULL,"argillite;GREEN ARGILLITE"
