"sgp lith_name","sgp lith_texture","sgp lith_comp","sgp color","ozchem verbatim_lith"
"arenite",NULL,NULL,NULL,"arenite"
"arenite",NULL,NULL,NULL,"arenite; siltstone"
"argillite",NULL,NULL,NULL,"argillite"
"arkose",NULL,NULL,NULL,"arkose"
"breccia",NULL,NULL,NULL,"breccia"
"breccia",NULL,NULL,NULL,"breccia; dololutite"
"carbonate",NULL,NULL,NULL,"carbonate rock"
"chert",NULL,NULL,NULL,"chert"
"claystone",NULL,NULL,NULL,"claystone"
"claystone",NULL,NULL,NULL,"claystone; sandstone"
"conglomerate",NULL,NULL,NULL,"conglomerate"
"conglomerate",NULL,NULL,NULL,"tillite"
"diamictite",NULL,NULL,NULL,"diamictite"
"dolarenite",NULL,NULL,NULL,"dolarenite"
"dolarenite",NULL,NULL,NULL,"dolarenite; dololutite"
"dolarenite",NULL,NULL,NULL,"dolarenite; siltstone"
"dololutite",NULL,NULL,NULL,"dololutite"
"dololutite",NULL,NULL,NULL,"dololutite; dolarenite"
"dolomite",NULL,NULL,NULL,"dolostone"
"grainstone",NULL,NULL,NULL,"calcarenite"
"grainstone",NULL,NULL,NULL,"calcarenite; calcilutite"
"grainstone",NULL,NULL,NULL,"calcarenite; sandstone"
"grainstone",NULL,NULL,NULL,"calcarenite; siltstone"
"greywacke",NULL,NULL,NULL,"greywacke"
"iron formation",NULL,NULL,NULL,"banded iron formation"
"iron formation",NULL,NULL,NULL,"iron rich sedimentary rock"
"iron formation",NULL,NULL,NULL,"ironstone"
"lime mudstone",NULL,NULL,NULL,"calcilutite"
"limestone",NULL,NULL,NULL,"limestone"
"mudstone",NULL,"tuffaceous",NULL,"tuffaceous mudstone"
"mudstone",NULL,NULL,NULL,"mudstone"
"phosphorite",NULL,NULL,NULL,"phosphorite"
"phyllite",NULL,NULL,NULL,"phyllite"
"quartzite",NULL,NULL,NULL,"quartzite"
"sand",NULL,NULL,NULL,"sand"
"sandstone","silty",NULL,NULL,"silty sandstone"
"sandstone",NULL,"tuffaceous",NULL,"tuffaceous sandstone"
"sandstone",NULL,NULL,NULL,"quartz sandstone"
"sandstone",NULL,NULL,NULL,"sandstone"
"sandstone",NULL,NULL,NULL,"sandstone; siltstone"
"shale",NULL,NULL,"black","black shale"
"shale",NULL,NULL,NULL,"shale"
"siliciclastic",NULL,NULL,NULL,"siliciclastic sedimentary rock"
"siltstone",NULL,"tuffaceous",NULL,"tuffaceous siltstone"
"siltstone",NULL,NULL,NULL,"siltstone"
"siltstone",NULL,NULL,NULL,"siltstone; calcarenite"
"siltstone",NULL,NULL,NULL,"siltstone; dolarenite"
"siltstone",NULL,NULL,NULL,"siltstone; sandstone"
"slate",NULL,NULL,NULL,"slate"
"tuff",NULL,NULL,NULL,"ash tuff"
NULL,NULL,NULL,NULL,"metasedimentary siliciclastic rock"
NULL,NULL,NULL,NULL,"sediment"
NULL,NULL,NULL,NULL,"sedimentary rock"
