prep_id,prep_translation,prep_material
12,Silicon nitride (ceramic) ball mill,silicon nitride
76,Tungsten carbide disc mill,tungsten carbide
75,Tungsten carbide ball mill,tungsten carbide
74,Steel disc mill,steel
40,Steel jaw crusher and shatterbox,steel
30,Chrome-steel disc mill,steel
9,Disc mill,n/a
11,SPEX mixer/ball mill,n/a
1,Tungsten carbide shatterbox or mill,tungsten carbide
77,Steel drill (Ti-Al hardened),steel
38,Agate shatterbox,agate
5,Alumina (ceramic) shatterbox,alumina
2,Steel shatterbox,steel
47,Polished,n/a
6,Agate mortar and pestle,agate
14,Alumina (ceramic) mortar and pestle,alumina
49,Ceramic mortar and pestle,ceramic
18,Carbon steel mill,carbon steel
19,Porcelain mortar and pestle,porcelain
22,Tungsten carbide mill,tungsten carbide
27,Steel mortar (chipped) ceramic mortar (ground),steel
26,Steel mill,steel
33,Tungsten carbide drill,tungsten carbide
46,Ball mill,n/a
42,Ceramic puck mill,ceramic
43,Tungsten carbide piston and cylinder,tungsten carbide
44,Combusted ceramic mortar and pestle,ceramic
48,Tungsten carbide microdrill,tungsten carbide
62,"Ceramic vessel (rinsed with MeOH, DCM, Hexane)",ceramic
50,Steel shatterbox or ball mill,steel
51,Ceramic shatterbox,ceramic
53,Porcelain mortar,porcelain
15,Alumina (ceramic) ball mill,alumina
58,Vertical grinder with alumina (ceramic) plates,alumina
10,Agate ball mill,agate
4,Agate jaw crusher and ball mill,agate
41,Alumina (ceramic) jaw crusher and shatterbox,alumina
24,Siebtechnik mill,n/a
21,Zirconia (ceramic) mill,zirconia
25,Zirconia (ceramic) shatterbox,zirconia
23,Diamond microdrill,diamond
7,Dried,n/a
8,Freeze-dried,n/a
28,Hand-held micromill,n/a
34,Iron mortar and pestle and agate mill,iron and agate
39,Metal ball mill,metal (indet.)
57,Micro-picked,n/a
29,Microdrill,n/a
31,Mortar and pestle,n/a
45,Multi beads shocker,n/a
3,N/A,n/a
55,Tungsten carbide crusher and agate mill,tungsten carbide and agate
54,Rubber mortar,rubber
59,Steel ball mill,steel
60,Steel mortar and pestle,steel
64,Ceramic mill,ceramic
63,Agate mill/Agate mortar and pestle,agate
69,Agate disc mill,agate
68,Agate mill,agate
65,Agate mortar,agate
67,Agate planetary mill,agate
66,Agate swing mill,agate
71,Alumina (ceramic) shaker mill,alumina
72,Alumina (ceramic) mortar,alumina
70,Mortar (indet),n/a
73,Ceramic disc mill,ceramic
