"lith_name","lith_texture","lith_comp","color","verbatim_lith"
"anhydrite",NULL,NULL,NULL,"Anhydrite with gypsum"
"anhydrite",NULL,NULL,NULL,NULL
"anthracite",NULL,NULL,NULL,"Stone coal"
"boundstone","muddy","dolomitic","grey",NULL
"boundstone","muddy","dolomitic","pink",NULL
"boundstone","silty","dolomitic","grey",NULL
"boundstone","silty",NULL,NULL,NULL
"boundstone",NULL,"calcareous",NULL,NULL
"boundstone",NULL,"dolomitic","light whitish grey",NULL
"boundstone",NULL,NULL,"blue grey",NULL
"boundstone",NULL,NULL,"light whitish grey",NULL
"boundstone",NULL,NULL,NULL,"Buff cryptalgal dolostone."
"boundstone",NULL,NULL,NULL,"Buff dolostone with stromatolites."
"boundstone",NULL,NULL,NULL,"Buff microbialaminite dolostone with bioherms and stromatolites."
"boundstone",NULL,NULL,NULL,"Buff microbialaminite dolostone with bioherms."
"boundstone",NULL,NULL,NULL,"Buff microbialaminite dolostone with phyllite laminae and thin interbeds."
"boundstone",NULL,NULL,NULL,"Buff microbialaminite dolostone with quartz grains."
"boundstone",NULL,NULL,NULL,"Buff microbialaminite dolostone with scattered bioherms and stromatolites."
"boundstone",NULL,NULL,NULL,"Buff microbialaminite dolostone with scattered bioherms."
"boundstone",NULL,NULL,NULL,"Buff microbialaminite dolostone with some quartz grains."
"boundstone",NULL,NULL,NULL,"Buff microbialaminite dolostone with stromatolites."
"boundstone",NULL,NULL,NULL,"Buff microbialaminite dolostone."
"boundstone",NULL,NULL,NULL,"Buff microbialamintie dolostone with stromatolites."
"boundstone",NULL,NULL,NULL,"Buff stromatolitic dolostone."
"boundstone",NULL,NULL,NULL,"Buff, cryptalgal dolostone."
"boundstone",NULL,NULL,NULL,"Buff, phyllitic microbialaminite dolostone."
"boundstone",NULL,NULL,NULL,"Buff, stromatolitic dolostone."
"boundstone",NULL,NULL,NULL,"Grey dolostone with bioherms and stromatolites."
"boundstone",NULL,NULL,NULL,"Grey, cryptalgal dolostone with stromatolites."
"boundstone",NULL,NULL,NULL,"Grey, cryptalgal, laminated dolostone with bioherms."
"boundstone",NULL,NULL,NULL,"Light - medium grey microbialaminite dolostone."
"boundstone",NULL,NULL,NULL,"Light buff microbialaminite dolostone with intermittent dolostone rip up clasts and scattered teepees."
"boundstone",NULL,NULL,NULL,"Light buff microbialaminite dolostone with intermittent dolostone rip up clasts."
"boundstone",NULL,NULL,NULL,"Light buff microbialaminite dolostone with stromatolites."
"boundstone",NULL,NULL,NULL,"Light buff microbialaminite dolostone."
"boundstone",NULL,NULL,NULL,"Light buff to dark brown microbialaminite dolostone with intermittent dolostone rip up clasts and thin phyllite beds."
"boundstone",NULL,NULL,NULL,"Light buff, cryptalgal dolostone."
"boundstone",NULL,NULL,NULL,"Light gray, laminated dolostone with abundant bioherms."
"boundstone",NULL,NULL,NULL,"Light grey - pink, cryptalgal dolostone with diverse stromatolites."
"boundstone",NULL,NULL,NULL,"Light tan - buff microbialiaminite dolostone."
"boundstone",NULL,NULL,NULL,"Light tan - pink stromatolitic dolostone."
"boundstone",NULL,NULL,NULL,"Light tan, stromatolitic dolostone."
"boundstone",NULL,NULL,NULL,"Medium grey microbialaminite dolostone with stromatolites."
"boundstone",NULL,NULL,NULL,"Microbialaminite dolostone with stromatolites."
"boundstone",NULL,NULL,NULL,"Microbialaminite dolostone."
"boundstone",NULL,NULL,NULL,"Pink - grey cryptalgal dolostone."
"boundstone",NULL,NULL,NULL,"White, stromatolitic dolostone."
"boundstone",NULL,NULL,NULL,NULL
"carbonate","clayey","pyritiferous","black",NULL
"carbonate","muddy",NULL,NULL,NULL
"carbonate","sandy","calcareous","brown",NULL
"carbonate","sandy",NULL,NULL,"Sandy carbonate"
"carbonate","sandy",NULL,NULL,NULL
"carbonate","silty","calcareous","grey",NULL
"carbonate","silty",NULL,NULL,"Bioturbated Calcareous Siltstone"
"carbonate","silty",NULL,NULL,"Burrowed Calcareous Siltstone"
